pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
TOI-220 b,TOI-220,10.695264,0.08911,3.03,13.8,137.7252,805.0,5298.0,0.858,0.825,Transit,2021.0,0,90.7402
TOI-2200 b,TOI-2200,2.93602836512,,6.96310517,38.7,288.087,1147.0,5036.17,0.826247,0.85,Transit,2026.0,0,251.245
TOI-2202 b,TOI-2202,11.9126075,0.09564,10.95117414,287.31687993,42.7254,652.07,5169.0,0.808,0.841,Transit,2021.0,0,235.933
TOI-2202 c,TOI-2202,24.6744,0.15544,13.4,117.27868218,,,5144.0,0.794,0.823,Transit Timing Variations,2021.0,0,235.933
TOI-2207 b,TOI-2207,8.001968,0.0854,11.1529358,203.41018048,406.0,1259.0,6101.0,1.564,1.296,Transit,2022.0,0,373.345
TOI-2211.01,TOI-2211,3.092686757,0.04011,1.561,3.06,296.13,1056.92,5253.0,0.834,0.9,Transit,2024.0,0,70.2932
TOI-2227 b,TOI-2227,4.22175815648,,3.09885187,9.79,305.107,1164.0,5889.54,1.20847,1.03,Transit,2026.0,0,165.441
TOI-2236 b,TOI-2236,3.5315902,0.05009,14.36991326,502.16888306,1356.0,1688.0,6248.0,1.573,1.343,Transit,2022.0,0,355.59
TOI-2257 b,TOI-2257,35.189346,0.145,2.194,5.45,0.6703,256.0,3430.0,0.313,0.328,Transit,2021.0,0,57.7911
TOI-2260 b,TOI-2260,0.3524728,0.0097,1.62,3.26,1844.98,2609.0,5534.0,0.94,0.99,Transit,2022.0,0,101.251
TOI-2266 b,TOI-2266,2.326318,0.02,1.54,2.99,13.0,550.0,3200.0,0.24,0.23,Transit,2024.0,0,51.6004
TOI-2267 b,TOI-2267 A,2.28909,0.0205,1.0,0.972,8.4,424.0,3030.0,0.2075,0.171,Transit,2025.0,0,22.55
TOI-2267 c,TOI-2267 A,3.4950412,0.0263,1.14,1.55,4.7,374.0,3030.0,0.2075,0.171,Transit,2025.0,0,22.55
TOI-2267 d,TOI-2267 B,2.0344671,0.0145,1.77,3.78,5.3,422.0,3022.0,0.13,0.0989,Transit,2025.0,0,22.55
TOI-2274 b,TOI-2274,2.67963,0.05,2.45,6.57,83.7078,771.46,3943.0,0.631,0.612,Transit,2024.0,0,48.876
TOI-2285 b,TOI-2285,13.635109,0.1363,1.77,19.5,3.91,358.0,3491.0,0.464,0.454,Transit,2021.0,0,42.409
TOI-2295 b,TOI-2295,30.033302,0.1992,16.47720163,278.09985612,42.0912,747.0,5730.0,1.459,1.168,Transit,2024.0,0,126.279
TOI-2295 c,TOI-2295,966.5,2.018,12.8,1783.01736327,,234.9,5730.0,1.459,1.168,Radial Velocity,2024.0,0,126.279
TOI-2322 b,TOI-2322,11.30717,0.0924,0.994,2.31,22.04,603.1,4664.0,0.662,0.703,Transit,2025.0,0,59.861
TOI-2322 c,TOI-2322,20.225528,0.1362,1.874,18.1,10.15,496.8,4664.0,0.662,0.703,Transit,2025.0,0,59.861
TOI-2328 b,TOI-2328,17.10197,0.127,9.97599282,50.85254512,20.0982,842.0,5525.0,0.9,0.95,Transit,2025.0,0,231.782
TOI-2337 b,TOI-2337,2.99432,,10.08808263,508.5254512,619.5809,1272.46,4780.0,3.22,1.325,Transit,2022.0,0,536.046
TOI-2338 b,TOI-2338,22.65398,0.158,11.2089807,1900.61387386,13.8485,799.0,5581.0,1.05,0.99,Transit,2023.0,0,313.996
TOI-2345 b,TOI-2345,1.0528573,0.01705,1.504,3.49,791.0,1478.0,4687.0,0.729,0.727,Transit,2025.0,0,81.6541
TOI-2345 c,TOI-2345,21.064302,0.1257,2.451,7.27,14.57,544.0,4687.0,0.729,0.727,Transit,2025.0,0,81.6541
TOI-2346 b,TOI-2346,3.3312029,0.0473,16.11851425,394.10722468,1360.0,1689.0,6480.0,1.38,1.271,Transit,2025.0,0,437.484
TOI-2364 b,TOI-2364,4.0197517,0.04871,8.60849718,71.51139158,237.0,1091.0,5306.0,0.886,0.954,Transit,2023.0,0,219.614
TOI-2368 b,TOI-2368,5.1750073,0.05649,10.83908434,206.58846455,162.7267,1000.0,5360.0,0.846,0.897,Transit,2024.0,0,210.915
TOI-237 b,TOI-237,5.436098,0.0341,1.44,2.67,3.7,388.0,3212.0,0.211,0.179,Transit,2020.0,0,38.0749
TOI-2373 b,TOI-2373,13.33668,0.112,10.42435205,2955.8041851,69.8726,860.0,5651.0,1.102,1.041,Transit,2023.0,0,508.686
TOI-2374 b,TOI-2374,4.31361,0.0471,6.81,56.64,132.5691,885.0,4802.0,0.69,0.75,Transit,2024.0,0,134.655
TOI-2379 b,TOI-2379,5.4693827,0.05263,11.72459381,1830.69162432,25.3,624.0,3707.0,0.622,0.645,Transit,2024.0,0,211.247
TOI-238 b,TOI-238,1.273099,0.0212,1.559,3.37,753.1,1378.0,5059.0,0.756,0.781,Transit,2024.0,0,80.5407
TOI-238 c,TOI-238,8.465651,0.0749,2.18,6.7,58.3,696.0,5059.0,0.733,0.79,Radial Velocity,2024.0,0,80.5407
TOI-2382 b,TOI-2382,4.6612061,0.059,12.25141591,235.19302118,689.0,1426.0,6033.0,1.417,1.26,Transit,2025.0,0,434.92
TOI-2384 b,TOI-2384,2.13570304,0.02793,11.48920522,624.85064816,104.3,889.7,3943.0,0.6113,0.635,Transit,2024.0,0,191.51
TOI-2406 b,TOI-2406,3.0766891,0.02267,2.86,15.6,6.69,449.0,3100.0,0.204,0.166,Transit,2021.0,0,55.419
TOI-2407 b,TOI-2407,2.702969,0.033,4.26,16.8,41.0,705.0,3530.0,0.567,0.548,Transit,2025.0,0,92.4366
TOI-2411 b,TOI-2411,0.7826942,0.0144,1.68,3.46,1051.1379,1355.0,4099.0,0.68,0.65,Transit,2022.0,0,59.5362
TOI-2416 b,TOI-2416,8.275479,0.0831,9.86390302,953.485221,130.93,1080.0,5808.0,1.236,1.118,Transit,2023.0,0,557.733
TOI-2420 b,TOI-2420,5.842641,0.0684,15.02003414,294.62693329,1017.0,1571.6,5707.0,2.369,1.158,Transit,2024.0,0,435.174
TOI-2421 b,TOI-2421,4.3474032,0.0543,10.36830715,105.83685953,923.6,1534.0,5607.0,1.75,1.131,Transit,2022.0,0,327.927
TOI-2427 b,TOI-2427,1.3060011,0.0202,1.8,3.89,62.7136,1117.0,4072.0,0.65,0.64,Transit,2022.0,0,28.5147
TOI-2431 b,TOI-2431,0.22419578,0.0063,1.534,6.2,2649.15,2063.0,4109.0,0.651,0.661,Transit,2026.0,0,36.0559
TOI-244 b,TOI-244,7.397225,0.0559,1.52,2.68,7.3,458.0,3433.0,0.426,0.428,Transit,2023.0,0,22.0337
TOI-2443 b,TOI-2443,15.66858,0.105,2.363,4.8,13.2931,519.0,4375.0,0.631,0.642,Transit,2023.0,0,23.9258
TOI-2445 b,TOI-2445,0.3711281,0.0064,1.25,2.1,204.4874,1060.0,3333.0,0.27,0.25,Transit,2022.0,0,48.582
TOI-2447 b,TOI-2447,69.33684,0.347,9.60609646,124.90656395,44.5933,414.0,5730.0,1.006,1.034,Transit,2024.0,0,148.987
TOI-2449 b,TOI-2449,106.14468,0.45,11.24,222.0,362.642,400.0,6021.0,1.065,1.079,Transit,2025.0,0,156.786
TOI-2453 b,TOI-2453,4.44143463188,,3.24380341,10.6,21.749,550.78,3720.23,0.502498,0.500519,Transit,2026.0,0,81.9043
TOI-2458 b,TOI-2458,3.73659,0.0482,2.83,13.31,865.0,1509.4,6005.0,1.31,1.05,Transit,2024.0,0,112.958
TOI-2458 c,TOI-2458,16.553,0.129,3.18,10.22,,,6005.0,1.31,1.05,Radial Velocity,2024.0,0,112.958
TOI-2459 b,TOI-2459,19.104718,,2.9531,9.03,8.5187,445.01,4195.0,0.6751,0.66,Transit,2023.0,0,36.6113
TOI-2485 b,TOI-2485,11.23479,0.1093,12.1393261,766.60211768,275.6,1134.0,6016.4,1.72,1.163,Transit,2024.0,0,397.953
TOI-2497 b,TOI-2497,10.655669,0.1166,11.14172682,1531.93292174,997.8085,1595.0,7360.0,2.36,1.859,Transit,2023.0,0,285.289
TOI-2498 b,TOI-2498,3.738252,0.0491,6.06,34.62,790.4759,1443.0,5905.0,1.26,1.12,Transit,2023.0,0,275.265
TOI-251 b,TOI-251,4.93777,0.05741,2.74,317.83,277.7462,1041.19,5875.0,0.881,1.036,Transit,2021.0,0,99.523
TOI-2518 b,TOI-2518,6.89797425216,,2.26838675,5.77,239.133,1095.0,5751.2,0.993374,1.11,Transit,2026.0,0,160.825
TOI-2524 b,TOI-2524,7.18585,0.073,11.2089807,203.41018048,210.609,1100.0,5831.0,1.119,1.007,Transit,2023.0,0,438.842
TOI-2525 b,TOI-2525,23.2856,0.1511,8.67575106,26.69758619,16.3643,512.97,5096.0,0.785,0.849,Transit,2023.0,0,395.398
TOI-2525 c,TOI-2525,49.2519,0.249,10.13291855,208.8132634,6.0478,399.96,5096.0,0.785,0.849,Transit,2023.0,0,395.398
TOI-2529 b,TOI-2529,64.5949,0.327,11.54525012,743.71847238,70.9731,636.0,5802.0,1.7,1.11,Transit,2024.0,0,296.271
TOI-2537 b,TOI-2537,94.1022,0.3715,11.25381662,415.40172795,7.4445,338.0,4870.0,0.771,0.771,Transit,2024.0,0,184.986
TOI-2537 c,TOI-2537,1920.0,2.78,12.7,2297.89938261,,123.1,4870.0,0.771,0.771,Radial Velocity,2024.0,0,184.986
TOI-2545 b,TOI-2545,7.994037,,2.75,8.0,258.8217,1022.99,5846.29,1.25324,1.055,Transit,2022.0,0,107.118
TOI-2567 b,TOI-2567,5.983944,0.0672,10.92875618,63.88350981,558.0,1352.0,5611.0,1.686,1.13,Transit,2022.0,0,504.775
TOI-257 b,TOI-257,18.38818,0.1528,7.16253867,43.86032017,186.0,1027.0,6095.0,1.867,1.407,Transit,2021.0,0,76.9028
TOI-2570 b,TOI-2570,2.9887615,0.04145,13.64132951,260.61929374,699.0,1431.0,5771.0,1.095,1.063,Transit,2022.0,0,361.857
TOI-2580 b,TOI-2580,3.39775,0.048,17.37392009,200.23189641,1730.0,2410.0,6120.0,1.81,1.33,Transit,2024.0,0,379.253
TOI-2583 A b,TOI-2583 A,4.5207265,0.0571,14.4595851,79.45710175,750.9,1456.0,5936.0,1.477,1.215,Transit,2023.0,0,566.189
TOI-2587 A b,TOI-2587 A,5.45664,0.0635,12.07207221,69.28659273,728.0,1445.0,5760.0,1.726,1.15,Transit,2023.0,0,373.675
TOI-2589 b,TOI-2589,61.6277,0.3,12.10569916,1112.3994245,21.7464,592.0,5579.0,1.07,0.93,Transit,2023.0,0,200.273
